shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence
10012;49.087806;6.118275;20001
10012;49.089203;6.123365;20002
10012;49.089203;6.123365;30001
10012;49.090910;6.129128;30002
10012;49.090910;6.129128;40001
10012;49.093539;6.132516;40002
10012;49.093539;6.132516;50001
10012;49.094445;6.135356;50002
10012;49.094445;6.135356;60001
10012;49.095566;6.138685;60002
10012;49.095566;6.138685;70001
10012;49.097373;6.144350;70002
10012;49.097373;6.144350;80001
10012;49.098320;6.147441;80002
10012;49.098320;6.147441;90001
10012;49.099976;6.152631;90002
10012;49.099976;6.152631;100001
10012;49.101364;6.154804;100002
10012;49.101364;6.154804;110001
10012;49.101840;6.158270;110002
10012;49.101840;6.158270;120001
10012;49.103530;6.161950;120002
10012;49.103530;6.161950;130001
10012;49.105495;6.163655;130002
10012;49.105495;6.163655;140001
10012;49.107062;6.168939;140002
10012;49.107062;6.168939;150001
10012;49.109940;6.170550;150002
10012;49.109940;6.170550;160001
10012;49.114500;6.172990;160002
10012;49.114500;6.172990;170001
10012;49.112979;6.177394;170002
10012;49.112979;6.177394;180001
10012;49.110660;6.176990;180002
10012;49.110660;6.176990;190001
10012;49.114951;6.184847;190002
10012;49.114951;6.184847;200001
10012;49.118409;6.189948;200002
10012;49.118409;6.189948;210001
10012;49.120317;6.190744;210002
10012;49.120317;6.190744;220001
10012;49.120190;6.193145;220002
10012;49.120190;6.193145;230001
10012;49.122961;6.194159;230002
10012;49.122961;6.194159;240001
10012;49.121304;6.195390;240002
10012;49.121304;6.195390;250001
10012;49.119177;6.196322;250002
10012;49.119177;6.196322;260001
10012;49.118479;6.200509;260002
10012;49.118479;6.200509;270001
10012;49.119007;6.204234;270002
10012;49.119007;6.204234;280001
10012;49.120111;6.209556;280002
10012;49.120111;6.209556;290001
10012;49.120197;6.214533;290002
10012;49.120197;6.214533;300001
10012;49.122094;6.216592;300002
10012;49.122094;6.216592;310001
10012;49.121796;6.219060;310002
10012;49.121796;6.219060;320001
10012;49.122632;6.225374;320002
10012;49.122632;6.225374;330001
10012;49.123890;6.226270;330002
10012;49.123890;6.226270;340001
10012;49.125193;6.230550;340002
10013;49.085418;6.113457;10001
10013;49.087806;6.118275;10002
10013;49.087806;6.118275;20001
10013;49.089203;6.123365;20002
10013;49.089203;6.123365;30001
10013;49.090910;6.129128;30002
10013;49.090910;6.129128;40001
10013;49.093539;6.132516;40002
10013;49.093539;6.132516;50001
10013;49.094445;6.135356;50002
10013;49.094445;6.135356;60001
10013;49.095566;6.138685;60002
10013;49.095566;6.138685;70001
10013;49.097373;6.144350;70002
10013;49.097373;6.144350;80001
10013;49.098320;6.147441;80002
10013;49.098320;6.147441;90001
10013;49.099976;6.152631;90002
10013;49.099976;6.152631;100001
10013;49.101364;6.154804;100002
10013;49.101364;6.154804;110001
10013;49.101840;6.158270;110002
10013;49.101840;6.158270;120001
10013;49.103530;6.161950;120002
10013;49.103530;6.161950;130001
10013;49.105495;6.163655;130002
10013;49.105495;6.163655;140001
10013;49.107062;6.168939;140002
10013;49.107062;6.168939;150001
10013;49.109940;6.170550;150002
10013;49.109940;6.170550;160001
10013;49.114500;6.172990;160002
10013;49.114500;6.172990;170001
10013;49.112979;6.177394;170002
10013;49.112979;6.177394;180001
10013;49.110660;6.176990;180002
10013;49.110660;6.176990;190001
10013;49.114951;6.184847;190002
10013;49.114951;6.184847;200001
10013;49.118409;6.189948;200002
10013;49.118409;6.189948;210001
10013;49.120317;6.190744;210002
10013;49.120317;6.190744;220001
10013;49.120190;6.193145;220002
10013;49.120190;6.193145;230001
10013;49.122961;6.194159;230002
10013;49.122961;6.194159;240001
10013;49.121304;6.195390;240002
10013;49.121304;6.195390;250001
10013;49.119177;6.196322;250002
10013;49.119177;6.196322;260001
10013;49.118479;6.200509;260002
10013;49.118479;6.200509;270001
10013;49.119007;6.204234;270002
10013;49.119007;6.204234;280001
10013;49.120111;6.209556;280002
10013;49.120111;6.209556;290001
10013;49.120197;6.214533;290002
10013;49.120197;6.214533;300001
10013;49.122094;6.216592;300002
10013;49.122094;6.216592;310001
10013;49.121796;6.219060;310002
10013;49.121796;6.219060;320001
10013;49.122632;6.225374;320002
10013;49.122632;6.225374;330001
10013;49.123890;6.226270;330002
10013;49.123890;6.226270;340001
10013;49.125193;6.230550;340002
10016;49.125193;6.230550;10001
10016;49.125861;6.227397;10002
10016;49.125861;6.227397;20001
10016;49.123956;6.225906;20002
10016;49.123956;6.225906;30001
10016;49.122467;6.224792;30002
10016;49.122467;6.224792;40001
10016;49.122548;6.218963;40002
10016;49.122548;6.218963;50001
10016;49.122093;6.216607;50002
10016;49.122093;6.216607;60001
10016;49.120179;6.214947;60002
10016;49.120179;6.214947;70001
10016;49.120046;6.208878;70002
10016;49.120046;6.208878;80001
10016;49.119000;6.204281;80002
10016;49.119000;6.204281;90001
10016;49.118481;6.200633;90002
10016;49.118481;6.200633;100001
10016;49.120074;6.196174;100002
10016;49.120074;6.196174;110001
10016;49.121440;6.194683;110002
10016;49.121440;6.194683;120001
10016;49.122856;6.193868;120002
10016;49.122856;6.193868;130001
10016;49.120281;6.193512;130002
10016;49.120281;6.193512;140001
10016;49.120040;6.190601;140002
10016;49.120040;6.190601;150001
10016;49.118136;6.189842;150002
10016;49.118136;6.189842;160001
10016;49.119381;6.181936;160002
10016;49.119381;6.181936;170001
10016;49.117232;6.179856;170002
10016;49.117232;6.179856;180001
10016;49.114125;6.182420;180002
10016;49.114125;6.182420;190001
10016;49.111060;6.177060;190002
10016;49.111060;6.177060;200001
10016;49.113468;6.178366;200002
10016;49.113468;6.178366;210001
10016;49.115436;6.174237;210002
10016;49.115436;6.174237;220001
10016;49.109801;6.170433;220002
10016;49.109801;6.170433;230001
10016;49.107180;6.168711;230002
10016;49.107180;6.168711;240001
10016;49.105230;6.163460;240002
10016;49.105230;6.163460;250001
10016;49.103745;6.162015;250002
10016;49.103745;6.162015;260001
10016;49.102140;6.158850;260002
10016;49.102140;6.158850;270001
10016;49.101308;6.154675;270002
10016;49.101308;6.154675;280001
10016;49.099441;6.151063;280002
10016;49.099441;6.151063;290001
10016;49.097961;6.146272;290002
10016;49.097961;6.146272;300001
10016;49.097040;6.143281;300002
10016;49.097040;6.143281;310001
10016;49.095125;6.137334;310002
10016;49.095125;6.137334;320001
10016;49.094330;6.134834;320002
10016;49.094330;6.134834;330001
10016;49.093670;6.132950;330002
10016;49.093670;6.132950;340001
10016;49.090555;6.127341;340002
10016;49.090555;6.127341;350001
10016;49.089741;6.124332;350002
10016;49.089741;6.124332;360001
10016;49.087253;6.117156;360002
10016;49.087253;6.117156;370001
10016;49.085418;6.113457;370002
20009;49.061007;6.166711;10001
20009;49.060938;6.162506;10002
20009;49.060938;6.162506;20001
20009;49.058975;6.158887;20002
20009;49.058975;6.158887;30001
20009;49.058991;6.156305;30002
20009;49.058991;6.156305;40001
20009;49.060077;6.154155;40002
20009;49.060077;6.154155;50001
20009;49.060249;6.150115;50002
20009;49.060249;6.150115;60001
20009;49.062854;6.146246;60002
20009;49.062854;6.146246;70001
20009;49.063946;6.148353;70002
20009;49.063946;6.148353;80001
20009;49.068535;6.146847;80002
20009;49.068535;6.146847;90001
20009;49.073839;6.147819;90002
20009;49.073839;6.147819;100001
20009;49.076504;6.146581;100002
20009;49.076504;6.146581;110001
20009;49.080851;6.146461;110002
20009;49.080851;6.146461;120001
20009;49.083529;6.148852;120002
20009;49.083529;6.148852;130001
20009;49.089281;6.153389;130002
20009;49.089281;6.153389;140001
20009;49.092873;6.156398;140002
20009;49.092873;6.156398;150001
20009;49.096050;6.159085;150002
20009;49.096050;6.159085;160001
20009;49.097949;6.160483;160002
20009;49.097949;6.160483;170001
20009;49.100454;6.162568;170002
20009;49.100454;6.162568;180001
20009;49.102880;6.164599;180002
20009;49.102880;6.164599;190001
20009;49.105162;6.166510;190002
20009;49.105162;6.166510;200001
20009;49.107062;6.168939;200002
20009;49.107062;6.168939;210001
20009;49.109940;6.170550;210002
20009;49.109940;6.170550;220001
20009;49.114320;6.172450;220002
20010;49.114485;6.172077;10001
20010;49.109801;6.170433;10002
20010;49.109801;6.170433;20001
20010;49.107180;6.168711;20002
20010;49.107180;6.168711;30001
20010;49.105362;6.166723;30002
20010;49.105362;6.166723;40001
20010;49.102570;6.164369;40002
20010;49.102570;6.164369;50001
20010;49.099700;6.161980;50002
20010;49.099700;6.161980;60001
20010;49.097280;6.159970;60002
20010;49.097280;6.159970;70001
20010;49.095000;6.158130;70002
20010;49.095000;6.158130;80001
20010;49.091612;6.155352;80002
20010;49.091612;6.155352;90001
20010;49.089642;6.153691;90002
20010;49.089642;6.153691;100001
20010;49.084244;6.149394;100002
20010;49.084244;6.149394;110001
20010;49.080670;6.146240;110002
20010;49.080670;6.146240;120001
20010;49.076504;6.146581;120002
20010;49.076504;6.146581;130001
20010;49.072923;6.148046;130002
20010;49.072923;6.148046;140001
20010;49.068926;6.146890;140002
20010;49.068926;6.146890;150001
20010;49.063956;6.148349;150002
20010;49.063956;6.148349;160001
20010;49.062189;6.146438;160002
20010;49.062189;6.146438;170001
20010;49.060630;6.149240;170002
20010;49.060630;6.149240;180001
20010;49.060039;6.154227;180002
20010;49.060039;6.154227;190001
20010;49.058850;6.156548;190002
20010;49.058850;6.156548;200001
20010;49.058990;6.159201;200002
20010;49.058990;6.159201;210001
20010;49.060080;6.162630;210002
20010;49.060080;6.162630;220001
20010;49.061007;6.166711;220002
30004;49.156248;6.140034;10001
30004;49.152951;6.145005;10002
30004;49.152951;6.145005;20001
30004;49.151276;6.150050;20002
30004;49.151276;6.150050;30001
30004;49.147632;6.152458;30002
30004;49.147632;6.152458;40001
30004;49.147417;6.148651;40002
30004;49.147417;6.148651;50001
30004;49.144803;6.147904;50002
30004;49.144803;6.147904;60001
30004;49.141383;6.148190;60002
30004;49.141383;6.148190;70001
30004;49.141124;6.150791;70002
30004;49.141124;6.150791;80001
30004;49.139202;6.153451;80002
30004;49.139202;6.153451;90001
30004;49.136627;6.155927;90002
30004;49.136627;6.155927;100001
30004;49.135059;6.156782;100002
30004;49.135059;6.156782;110001
30004;49.134585;6.161235;110002
30004;49.134585;6.161235;120001
30004;49.132861;6.165016;120002
30004;49.132861;6.165016;130001
30004;49.132944;6.167915;130002
30004;49.132944;6.167915;140001
30004;49.129429;6.170241;140002
30004;49.129429;6.170241;150001
30004;49.127360;6.175441;150002
30004;49.127360;6.175441;160001
30004;49.124096;6.181054;160002
30004;49.124096;6.181054;170001
30004;49.122696;6.178363;170002
30004;49.122696;6.178363;180001
30004;49.121590;6.174796;180002
30004;49.121590;6.174796;190001
30004;49.121000;6.172009;190002
30004;49.121233;6.168829;190003
30004;49.121233;6.168829;200001
30004;49.115614;6.173439;200002
30004;49.115614;6.173439;210001
30004;49.110789;6.171108;210002
30004;49.110789;6.171108;220001
30004;49.110090;6.176000;220002
30004;49.110090;6.176000;230001
30004;49.108030;6.172980;230002
30004;49.108030;6.172980;240001
30004;49.105932;6.173607;240002
30004;49.105932;6.173607;250001
30004;49.103434;6.174773;250002
30004;49.103434;6.174773;260001
30004;49.101033;6.175172;260002
30004;49.101033;6.175172;270001
30004;49.098724;6.173378;270002
30004;49.098724;6.173378;280001
30004;49.096835;6.175178;280002
30004;49.096835;6.175178;290001
30004;49.094382;6.175952;290002
30004;49.094382;6.175952;300001
30004;49.093283;6.172531;300002
30004;49.093283;6.172531;310001
30004;49.093940;6.168179;310002
30004;49.093940;6.168179;320001
30004;49.091910;6.167250;320002
30004;49.091910;6.167250;330001
30004;49.089855;6.166131;330002
30004;49.089855;6.166131;340001
30004;49.087485;6.164532;340002
30004;49.087485;6.164532;350001
30004;49.088491;6.159318;350002
30004;49.088491;6.159318;360001
30004;49.086587;6.156651;360002
30004;49.086587;6.156651;370001
30004;49.084587;6.154709;370002
30023;49.156248;6.140034;10001
30023;49.153155;6.139950;10002
30023;49.153155;6.139950;20001
30023;49.152951;6.145005;20002
30023;49.152951;6.145005;30001
30023;49.151276;6.150050;30002
30023;49.151276;6.150050;40001
30023;49.147632;6.152458;40002
30023;49.147632;6.152458;50001
30023;49.147417;6.148651;50002
30023;49.147417;6.148651;60001
30023;49.144803;6.147904;60002
30023;49.144803;6.147904;70001
30023;49.141383;6.148190;70002
30023;49.141383;6.148190;80001
30023;49.141124;6.150791;80002
30023;49.141124;6.150791;90001
30023;49.139202;6.153451;90002
30023;49.139202;6.153451;100001
30023;49.136627;6.155927;100002
30023;49.136627;6.155927;110001
30023;49.135059;6.156782;110002
30023;49.135059;6.156782;120001
30023;49.134585;6.161235;120002
30023;49.134585;6.161235;130001
30023;49.132861;6.165016;130002
30023;49.132861;6.165016;140001
30023;49.132944;6.167915;140002
30023;49.132944;6.167915;150001
30023;49.129429;6.170241;150002
30023;49.129429;6.170241;160001
30023;49.127360;6.175441;160002
30023;49.127360;6.175441;170001
30023;49.124096;6.181054;170002
30023;49.124096;6.181054;180001
30023;49.122696;6.178363;180002
30023;49.122696;6.178363;190001
30023;49.121590;6.174796;190002
30023;49.121590;6.174796;200001
30023;49.121000;6.172009;200002
30023;49.121233;6.168829;200003
30023;49.121233;6.168829;210001
30023;49.115614;6.173439;210002
30023;49.115614;6.173439;220001
30023;49.110789;6.171108;220002
30023;49.110789;6.171108;230001
30023;49.110090;6.176000;230002
30023;49.110090;6.176000;240001
30023;49.108030;6.172980;240002
30023;49.108030;6.172980;250001
30023;49.105932;6.173607;250002
30023;49.105932;6.173607;260001
30023;49.103434;6.174773;260002
30023;49.103434;6.174773;270001
30023;49.101033;6.175172;270002
30023;49.101033;6.175172;280001
30023;49.098724;6.173378;280002
30023;49.098724;6.173378;290001
30023;49.096835;6.175178;290002
30023;49.096835;6.175178;300001
30023;49.094382;6.175952;300002
30023;49.094382;6.175952;310001
30023;49.093283;6.172531;310002
30023;49.093283;6.172531;320001
30023;49.093940;6.168179;320002
30023;49.093940;6.168179;330001
30023;49.091910;6.167250;330002
30023;49.091910;6.167250;340001
30023;49.089855;6.166131;340002
30023;49.089855;6.166131;350001
30023;49.087485;6.164532;350002
30023;49.087485;6.164532;360001
30023;49.088491;6.159318;360002
30023;49.088491;6.159318;370001
30023;49.086587;6.156651;370002
30023;49.086587;6.156651;380001
30023;49.084587;6.154709;380002
30025;49.156248;6.140034;10001
30025;49.152951;6.145005;10002
30025;49.152951;6.145005;20001
30025;49.151276;6.150050;20002
30025;49.151276;6.150050;30001
30025;49.147632;6.152458;30002
30025;49.147632;6.152458;40001
30025;49.147417;6.148651;40002
30025;49.147417;6.148651;50001
30025;49.144803;6.147904;50002
30025;49.144803;6.147904;60001
30025;49.141383;6.148190;60002
30025;49.141383;6.148190;70001
30025;49.141124;6.150791;70002
30025;49.141124;6.150791;80001
30025;49.139202;6.153451;80002
30025;49.139202;6.153451;90001
30025;49.136627;6.155927;90002
30025;49.136627;6.155927;100001
30025;49.135059;6.156782;100002
30025;49.135059;6.156782;110001
30025;49.134585;6.161235;110002
30025;49.134585;6.161235;120001
30025;49.132861;6.165016;120002
30025;49.132861;6.165016;130001
30025;49.132944;6.167915;130002
30025;49.132944;6.167915;140001
30025;49.129429;6.170241;140002
30025;49.129429;6.170241;150001
30025;49.127360;6.175441;150002
30025;49.127360;6.175441;160001
30025;49.124096;6.181054;160002
30025;49.124096;6.181054;170001
30025;49.122696;6.178363;170002
30025;49.122696;6.178363;180001
30025;49.121590;6.174796;180002
30025;49.121590;6.174796;190001
30025;49.121000;6.172009;190002
30025;49.121233;6.168829;190003
30025;49.121233;6.168829;200001
30025;49.115614;6.173439;200002
30025;49.115614;6.173439;210001
30025;49.110789;6.171108;210002
30025;49.110789;6.171108;220001
30025;49.110090;6.176000;220002
30025;49.110090;6.176000;230001
30025;49.108030;6.172980;230002
30025;49.108030;6.172980;240001
30025;49.105932;6.173607;240002
30025;49.105932;6.173607;250001
30025;49.103434;6.174773;250002
30025;49.103434;6.174773;260001
