agency_id;route_id;route_short_name;route_long_name;route_desc;route_type;route_url;route_color;route_text_color
LE MET;1-175;1;LIANE 1;;3;;B22E75;FFFFFF
LE MET;2-5;2;LIANE 2;;3;;B22E75;FFFFFF
LE MET;3-82;3;LIANE 3;;3;;B22E75;FFFFFF
LE MET;4-7;4;LIANE 4;;3;;B22E75;FFFFFF
LE MET;5-123;5;LIANE 5;;3;;B22E75;FFFFFF
LE MET;11-158;11;CITEIS 11;;3;;00A8BE;FFFFFF
LE MET;12-101;12;CITEIS 12;;3;;00A8BE;FFFFFF
LE MET;13-142;13;CITEIS 13;;3;;00A8BE;FFFFFF
LE MET;14-166;14;CITEIS 14;;3;;00A8BE;FFFFFF
LE MET;15-201;15;CITEIS 15;;3;;00A8BE;FFFFFF
LE MET;16-165;16;CITEIS 16;;3;;00A8BE;FFFFFF
LE MET;17-176;17;CITEIS 17;;3;;00A8BE;FFFFFF
LE MET;18-159;18;NAVETTE 18;;3;;904E1A;FFFFFF
LE MET;19-29;19;NAVETTE 19;;3;;904E1A;FFFFFF
LE MET;70-156;70;NAVETTE 70;;3;;904E1A;FFFFFF
LE MET;71-181;71;NAVETTE 71;;3;;904E1A;FFFFFF
LE MET;81-145;81;NAVETTE 81;;3;;904E1A;FFFFFF
LE MET;82-109;82;NAVETTE 82;;3;;904E1A;FFFFFF
LE MET;83-163;83;NAVETTE 83;;3;;904E1A;FFFFFF
LE MET;84a-177;84a;NAVETTE 84a;;3;;904E1A;FFFFFF
LE MET;84b-178;84b;NAVETTE 84b;;3;;904E1A;FFFFFF
LE MET;86-96;86;NAVETTE 86;;3;;904E1A;FFFFFF
LE MET;87-78;87;NAVETTE 87;;3;;904E1A;FFFFFF
LE MET;88-79;88;NAVETTE 88;;3;;904E1A;FFFFFF
LE MET;89-22;89;NAVETTE 89;;3;;904E1A;FFFFFF
LE MET;90-167;90;NAVETTE 90;;3;;904E1A;FFFFFF
LE MET;92-154;92;NAVETTE 92;;3;;904E1A;FFFFFF
LE MET;93-155;93;NAVETTE 93;;3;;904E1A;FFFFFF
LE MET;101-90;101;PROXIS 101;;3;;97BF0D;FFFFFF
