Column1;Column2;Column3;Column4;Column5;Column6
agency_id;agency_name;agency_url;agency_timezone;agency_lang;agency_phone
LE MET;SAEML TAMM (Le Met');https://lemet.fr;Europe/Paris;FR;0.800.00.29.38
